place_id,place_kind,external_key,name_ja,lat,lon,reason
jp-14:place:site.jiban-chinka-29,site,kanagawa_jiban_chinka__29,麻生観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well29（data/processed/kanagawa_jiban_chinka.csv well_id=29; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-297,site,kanagawa_jiban_chinka__297,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row50_col11（data/processed/kanagawa_jiban_chinka.csv well_id=297; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-3,site,kanagawa_jiban_chinka__3,渡田観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well3（data/processed/kanagawa_jiban_chinka.csv well_id=3; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-30,site,kanagawa_jiban_chinka__30,宮前観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well30（data/processed/kanagawa_jiban_chinka.csv well_id=30; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-318,site,kanagawa_jiban_chinka__318,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row35_col11（data/processed/kanagawa_jiban_chinka.csv well_id=318; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-32,site,kanagawa_jiban_chinka__32,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row56_col11（data/processed/kanagawa_jiban_chinka.csv well_id=32; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-336,site,kanagawa_jiban_chinka__336,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row36_col11（data/processed/kanagawa_jiban_chinka.csv well_id=336; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-34,site,kanagawa_jiban_chinka__34,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row18_col11（data/processed/kanagawa_jiban_chinka.csv well_id=34; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-37-0,site,kanagawa_jiban_chinka__37-0,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row47_col11（data/processed/kanagawa_jiban_chinka.csv well_id=37-0; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-4,site,kanagawa_jiban_chinka__4,田島観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well4（data/processed/kanagawa_jiban_chinka.csv well_id=4; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
